Start Time	End Time	Time Added	Device Screen Status
2022-01-25 16:20:52+00:00	2022-01-25 17:17:16+00:00	2022-01-25 17:17:18+00:00	Backlight off
2022-01-25 17:17:16+00:00	2022-01-25 17:17:20+00:00	2022-01-25 17:17:23+00:00	Backlight on
2022-01-25 17:17:20+00:00	2022-01-25 22:37:16+00:00	2022-01-25 22:37:16+00:00	Backlight off
2022-01-25 22:37:16+00:00	2022-01-25 22:37:24+00:00	2022-01-25 22:37:26+00:00	Backlight on
2022-01-25 22:37:24+00:00	2022-01-25 22:47:20+00:00	2022-01-25 22:47:23+00:00	Backlight off
2022-01-25 22:47:20+00:00	2022-01-25 22:47:32+00:00	2022-01-25 22:47:33+00:00	Backlight on
2022-01-25 22:47:32+00:00	2022-01-26 01:59:36+00:00	2022-01-26 01:59:36+00:00	Backlight off
2022-01-26 01:59:36+00:00	2022-01-26 01:59:44+00:00	2022-01-26 01:59:46+00:00	Backlight on
2022-01-26 01:59:44+00:00	2022-01-26 08:22:00+00:00	2022-01-26 08:22:01+00:00	Backlight off
2022-01-30 01:56:04+00:00	2022-01-30 02:12:00+00:00	2022-01-30 02:12:02+00:00	Backlight on
2022-01-30 02:12:00+00:00	2022-01-30 02:12:24+00:00	2022-01-30 02:12:27+00:00	Backlight off
2022-01-30 02:12:24+00:00	2022-01-30 02:27:56+00:00	2022-01-30 02:27:57+00:00	Backlight on
2022-01-30 02:27:56+00:00	2022-01-30 02:28:40+00:00	2022-01-30 02:28:40+00:00	Backlight off
2022-01-30 02:28:40+00:00	2022-01-30 02:36:48+00:00	2022-01-30 02:36:51+00:00	Backlight on
2022-01-30 02:36:48+00:00	2022-01-30 04:33:04+00:00	2022-01-30 04:33:07+00:00	Backlight off
2022-01-30 04:33:04+00:00	2022-01-30 04:33:12+00:00	2022-01-30 04:33:13+00:00	Backlight on
2022-01-30 04:33:12+00:00	2022-01-30 07:04:24+00:00	2022-01-30 07:04:24+00:00	Backlight off
2022-01-30 07:04:24+00:00	2022-01-30 07:04:32+00:00	2022-01-30 07:04:34+00:00	Backlight on
2022-01-30 07:04:32+00:00	2022-01-30 10:30:32+00:00	2022-01-30 10:30:34+00:00	Backlight off
2022-01-30 10:30:32+00:00	2022-01-30 10:30:44+00:00	2022-01-30 10:30:44+00:00	Backlight on
2022-01-30 10:30:44+00:00	2022-01-30 13:32:40+00:00	2022-01-30 13:32:43+00:00	Backlight off
2022-01-30 13:32:40+00:00	2022-01-30 13:32:52+00:00	2022-01-30 13:32:53+00:00	Backlight on
2022-01-30 13:32:52+00:00	2022-01-30 14:15:12+00:00	2022-01-30 14:15:15+00:00	Backlight off
2022-01-30 14:15:12+00:00	2022-01-30 14:15:24+00:00	2022-01-30 14:15:25+00:00	Backlight on
2022-01-30 14:15:24+00:00	2022-01-30 14:15:52+00:00	2022-01-30 14:15:54+00:00	Backlight off
2022-01-30 14:15:52+00:00	2022-01-30 14:16:04+00:00	2022-01-30 14:16:04+00:00	Backlight on
2022-01-30 14:16:04+00:00	2022-01-30 16:37:00+00:00	2022-01-30 16:37:01+00:00	Backlight off
2022-01-30 16:37:00+00:00	2022-01-30 16:37:12+00:00	2022-01-30 16:37:12+00:00	Backlight on
2022-01-30 16:37:12+00:00	2022-01-30 18:21:40+00:00	2022-01-30 18:21:40+00:00	Backlight off
2022-01-30 18:21:40+00:00	2022-01-30 18:21:48+00:00	2022-01-30 18:21:50+00:00	Backlight on
2022-01-30 18:21:48+00:00	2022-01-30 19:35:36+00:00	2022-01-30 19:35:37+00:00	Backlight off
2022-01-30 19:35:36+00:00	2022-01-30 19:35:44+00:00	2022-01-30 19:35:47+00:00	Backlight on
2022-01-30 19:35:44+00:00	2022-01-30 20:05:36+00:00	2022-01-30 20:05:39+00:00	Backlight off
2022-01-30 20:05:36+00:00	2022-01-30 20:05:48+00:00	2022-01-30 20:05:49+00:00	Backlight on
2022-01-30 20:05:48+00:00	2022-01-30 21:52:32+00:00	2022-01-30 21:52:33+00:00	Backlight off
2022-01-30 21:52:32+00:00	2022-01-30 21:52:40+00:00	2022-01-30 21:52:43+00:00	Backlight on
2022-01-30 21:52:40+00:00	2022-01-30 21:54:32+00:00	2022-01-30 21:54:33+00:00	Backlight off
2022-01-30 21:54:32+00:00	2022-01-30 21:54:40+00:00	2022-01-30 21:54:43+00:00	Backlight on
2022-01-30 21:54:40+00:00	2022-01-31 05:43:04+00:00	2022-01-31 05:43:07+00:00	Backlight off
