Start Time	End Time	Playing State	Playing Duration	App Bundle ID	Artist	Album	Title	Genre	Media Duration	AirPlay Video	Output Device	Time Added
2022-02-06 04:44:20+00:00	2022-02-06 04:44:27+00:00	Play	00:00:07	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +81 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:44:27+00:00
2022-02-06 04:44:27+00:00	2022-02-06 04:44:49+00:00	Play	00:00:22	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:44:49+00:00
2022-02-06 04:44:49+00:00	2022-02-06 04:45:10+00:00	Play	00:00:21	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +81 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:45:10+00:00
2022-02-06 04:45:10+00:00	2022-02-06 04:45:39+00:00	Play	00:00:29	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +84 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:45:39+00:00
2022-02-06 04:45:39+00:00	2022-02-06 04:45:46+00:00	Play	00:00:07	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +83 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:45:46+00:00
2022-02-06 04:45:46+00:00	2022-02-06 04:46:14+00:00	Play	00:00:28	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +82 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:46:14+00:00
2022-02-06 04:46:14+00:00	2022-02-06 04:46:29+00:00	Play	00:00:15	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +84 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:46:29+00:00
2022-02-06 04:46:29+00:00	2022-02-06 04:46:43+00:00	Play	00:00:14	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +83 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:46:43+00:00
2022-02-06 04:46:43+00:00	2022-02-06 04:46:57+00:00	Play	00:00:14	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +84 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:46:57+00:00
2022-02-06 04:46:57+00:00	2022-02-06 04:47:04+00:00	Play	00:00:07	com.atebits.Tweetie2	𝗙𝗿𝗲𝗱 𝗗𝗶𝗕𝗶𝗮𝘀𝗲, Reef, Yungun21_Neo_Respice Finem +86 others		24/7 #ConspiracyTheories #Covid19 #Metaverse AND MORE | FOLLOW HOSTs			No	Speaker	2022-02-06 04:47:04+00:00
