Start Time	End Time	Battery Percentage	Is Fully Charged?	Time Added
2022-01-21 10:47:44+00:00	2022-01-21 13:08:44+00:00	90	No	2022-01-21 13:08:45+00:00
2022-01-21 13:08:44+00:00	2022-01-21 15:03:32+00:00	89	No	2022-01-21 15:03:33+00:00
2022-01-21 15:03:32+00:00	2022-01-21 17:09:04+00:00	88	No	2022-01-21 17:09:07+00:00
2022-01-21 17:09:04+00:00	2022-01-21 19:14:48+00:00	87	No	2022-01-21 19:14:49+00:00
2022-01-21 19:14:48+00:00	2022-01-21 20:13:56+00:00	86	No	2022-01-21 20:13:57+00:00
2022-01-21 20:13:56+00:00	2022-01-21 20:19:20+00:00	85	No	2022-01-21 20:19:21+00:00
2022-01-21 20:19:20+00:00	2022-01-21 20:22:00+00:00	84	No	2022-01-21 20:22:01+00:00
2022-01-21 20:22:00+00:00	2022-01-21 20:26:40+00:00	83	No	2022-01-21 20:26:41+00:00
2022-01-21 20:26:40+00:00	2022-01-21 20:30:40+00:00	82	No	2022-01-21 20:30:41+00:00
2022-01-21 20:30:40+00:00	2022-01-21 20:33:40+00:00	81	No	2022-01-21 20:33:41+00:00
2022-01-21 20:33:40+00:00	2022-01-21 20:37:00+00:00	80	No	2022-01-21 20:37:01+00:00
2022-01-21 20:37:00+00:00	2022-01-21 20:41:20+00:00	79	No	2022-01-21 20:41:21+00:00
2022-01-21 20:41:20+00:00	2022-01-21 20:43:40+00:00	78	No	2022-01-21 20:43:41+00:00
2022-01-21 20:43:40+00:00	2022-01-21 20:47:20+00:00	77	No	2022-01-21 20:47:21+00:00
2022-01-21 20:47:20+00:00	2022-01-21 21:17:28+00:00	76	No	2022-01-21 21:17:29+00:00
2022-01-21 21:17:28+00:00	2022-01-21 21:22:08+00:00	75	No	2022-01-21 21:22:09+00:00
2022-01-21 21:22:08+00:00	2022-01-21 21:25:28+00:00	74	No	2022-01-21 21:25:29+00:00
2022-01-21 21:25:28+00:00	2022-01-21 21:30:48+00:00	73	No	2022-01-21 21:30:49+00:00
2022-01-21 21:30:48+00:00	2022-01-21 21:35:48+00:00	72	No	2022-01-21 21:35:49+00:00
2022-01-21 21:35:48+00:00	2022-01-21 21:38:48+00:00	71	No	2022-01-21 21:38:49+00:00
2022-01-21 21:38:48+00:00	2022-01-21 21:43:28+00:00	70	No	2022-01-21 21:43:29+00:00
2022-01-21 21:43:28+00:00	2022-01-21 21:49:48+00:00	69	No	2022-01-21 21:49:49+00:00
2022-01-21 21:49:48+00:00	2022-01-21 21:53:08+00:00	68	No	2022-01-21 21:53:09+00:00
2022-01-21 21:53:08+00:00	2022-01-21 22:00:08+00:00	67	No	2022-01-21 22:00:09+00:00
2022-01-21 22:00:08+00:00	2022-01-21 22:04:48+00:00	66	No	2022-01-21 22:04:49+00:00
2022-01-21 22:04:48+00:00	2022-01-21 22:09:08+00:00	65	No	2022-01-21 22:09:09+00:00
2022-01-21 22:09:08+00:00	2022-01-21 22:12:08+00:00	64	No	2022-01-21 22:12:09+00:00
2022-01-21 22:12:08+00:00	2022-01-21 22:12:48+00:00	63	No	2022-01-21 22:12:49+00:00
2022-01-21 22:12:48+00:00	2022-01-21 22:20:48+00:00	62	No	2022-01-21 22:20:49+00:00
2022-01-21 22:20:48+00:00	2022-01-21 22:24:16+00:00	61	No	2022-01-21 22:24:17+00:00
2022-01-21 22:24:16+00:00	2022-01-21 22:24:56+00:00	62	No	2022-01-21 22:24:57+00:00
2022-01-21 22:24:56+00:00	2022-01-21 22:25:56+00:00	63	No	2022-01-21 22:25:57+00:00
2022-01-21 22:25:56+00:00	2022-01-21 22:26:56+00:00	64	No	2022-01-21 22:26:57+00:00
